organization,year,records,sector,method,grouped_sector,attack_category
Hilton Hotels,2014,363000,hotel,hacked,Hospitality & Food Services,Hacked
Home Depot,2014,56000000,retail,hacked,Retail & Consumer Services,Hacked
Honda Canada,2011,283000,retail,poor security,Retail & Consumer Services,Poor security/Misconfiguration
Hyatt Hotels,2015,43797808,hotel,hacked,Hospitality & Food Services,Hacked
Iberdrola,2022,1300000,energy,poor security,Energy & Utilities,Poor security/Misconfiguration
Instagram,2020,200000000,social network,poor security,Social & Networking Services,Poor security/Misconfiguration
Internal Revenue Service,2015,720000,financial,hacked,Financial Services,Hacked
International Committee of the Red Cross,2022,515000,humanitarian,unknown,Miscellaneous & Other,Unknown
Inuvik hospital,2016,6700,healthcare,inside job,Healthcare & Health Services,Inside job
"Iranian banks (three: Saderat, Eghtesad Novin, and Saman)",2012,3000000,financial,hacked,Financial Services,Hacked
Japan Pension Service,2015,1250000,special public corporation,hacked,Government & Public Services,Hacked
Japanet Takata,2004,510000,shopping,inside job,Retail & Consumer Services,Inside job
"Jefferson County, West Virginia",2008,1600000,government,accidentally published,Government & Public Services,Accidentally published
JP Morgan Chase,2010,2600000,financial,lost / stolen media,Financial Services,Other
JP Morgan Chase,2014,76000000,financial,hacked,Financial Services,Hacked
Justdial,2019,100000000,local search,unprotected api,Miscellaneous & Other,Other
KDDI,2006,4000000,telecoms,hacked,Telecommunications,Hacked
Kirkwood Community College,2013,125000,academic,hacked,Educational & Academic Services,Hacked
KM.RU,2016,1500000,web,hacked,Technology & IT Services,Hacked
Koodo Mobile,2020,43797808,mobile carrier,hacked,Telecommunications,Hacked
Korea Credit Bureau,2014,20000000,financial,inside job,Financial Services,Inside job
Kroll Background America,2013,1000000,tech,hacked,Technology & IT Services,Hacked
KT Corporation,2012,8700000,telecoms,hacked,Telecommunications,Hacked
LexisNexis,2014,1000000,tech,hacked,Technology & IT Services,Hacked
"Landry's, Inc.",2015,43797808,restaurant,hacked,Hospitality & Food Services,Hacked
Les Éditions Protégez-vous,2020,380000,publisher (magazine),unknown,Media & Advertising,Unknown
LifeLabs,2019,15000000,healthcare,hacked,Healthcare & Health Services,Hacked
Lincoln Medical & Mental Health Center,2010,130495,healthcare,lost / stolen media,Healthcare & Health Services,Other
"LinkedIn, eHarmony, Last.fm",2012,8000000,web,accidentally published,Technology & IT Services,Accidentally published
Living Social,2013,50000000,web,hacked,Technology & IT Services,Hacked
MacRumors.com,2014,860000,web,hacked,Technology & IT Services,Hacked
Mandarin Oriental Hotels,2014,43797808,hotel,hacked,Hospitality & Food Services,Hacked
Marriott International,2018,500000000,hotel,hacked,Hospitality & Food Services,Hacked
Marriott International,2020,5200000,hotel,poor security/inside job,Hospitality & Food Services,Poor security/Misconfiguration
Massachusetts Government,2011,210000,government,poor security,Government & Public Services,Poor security/Misconfiguration
Massive American business hack including 7-Eleven and Nasdaq,2012,160000000,financial,hacked,Financial Services,Hacked
US Medicaid,2012,780000,"government, healthcare",hacked,Government & Public Services,Hacked
Medical Informatics Engineering,2015,3900000,healthcare,hacked,Healthcare & Health Services,Hacked
Memorial Healthcare System,2011,102153,healthcare,lost / stolen media,Healthcare & Health Services,Other
Michaels,2014,3000000,retail,hacked,Retail & Consumer Services,Hacked
Microsoft,2019,250000000,tech,data exposed by misconfiguration,Technology & IT Services,Poor security/Misconfiguration
Microsoft Exchange servers,2021,43797808,software,zero-day vulnerabilities,Technology & IT Services,Other
Militarysingles.com,2012,163792,"web, military",accidentally published,Technology & IT Services,Accidentally published
Ministry of Education (Chile),2008,6000000,government,accidentally published,Government & Public Services,Accidentally published
Ministry of Health (Singapore),2019,14200,healthcare,poor security/inside job,Healthcare & Health Services,Poor security/Misconfiguration
Mitsubishi Tokyo UFJ Bank,2006,960000,financial,intentionally lost,Financial Services,Lost / stolen media
MongoDB,2019,202000000,tech,poor security,Technology & IT Services,Poor security/Misconfiguration
MongoDB,2019,275000000,tech,poor security,Technology & IT Services,Poor security/Misconfiguration
Mobile TeleSystems (MTS),2019,100000000,telecommunications,misconfiguration/poor security,Telecommunications,Poor security/Misconfiguration
Monster.com,2007,1600000,web,hacked,Technology & IT Services,Hacked
Morgan Stanley Smith Barney,2011,34000,financial,lost / stolen media,Financial Services,Other
Morinaga Confectionery,2022,1648922,online shopping,ransomware hacked,Retail & Consumer Services,Hacked
Mozilla,2014,76000,web,poor security,Technology & IT Services,Poor security/Misconfiguration
MyHeritage,2018,92283889,genealogy,unknown,Miscellaneous & Other,Unknown
NASDAQ,2014,43797808,financial,hacked,Financial Services,Hacked
Natural Grocers,2015,43797808,retail,hacked,Retail & Consumer Services,Hacked
"NEC Networks, LLC",2021,1600000,healthcare,hacked,Healthcare & Health Services,Hacked
Neiman Marcus,2014,1100000,retail,hacked,Retail & Consumer Services,Hacked
Nemours Foundation,2011,1055489,healthcare,lost / stolen media,Healthcare & Health Services,Other
Network Solutions,2009,573000,tech,hacked,Technology & IT Services,Hacked
New York City Health & Hospitals Corp.,2010,1700000,healthcare,lost / stolen media,Healthcare & Health Services,Other
New York State Electric & Gas,2012,1800000,energy,inside job,Energy & Utilities,Inside job
New York Taxis,2014,52000,transport,poor security,Transport & Logistics,Poor security/Misconfiguration
Nexon Korea Corp,2011,13200000,web,hacked,Technology & IT Services,Hacked
NHS,2011,8300000,healthcare,lost / stolen media,Healthcare & Health Services,Other
Nintendo (Club Nintendo),2013,240000,gaming,hacked,Gaming & Entertainment,Hacked
Nintendo (Nintendo Account),2020,160000,gaming,hacked,Gaming & Entertainment,Hacked
Nippon Television,2016,430000,media,hacked,Media & Advertising,Hacked
Nival Networks,2016,1500000,gaming,hacked,Gaming & Entertainment,Hacked
Norwegian Tax Administration,2008,3950000,government,accidentally published,Government & Public Services,Accidentally published
Now:Pensions,2020,30000,financial,rogue contractor,Financial Services,Other
Ofcom,2016,43797808,telecom,inside job,Telecommunications,Inside job
US Office of Personnel Management,2015,21500000,government,hacked,Government & Public Services,Hacked
Office of the Texas Attorney General,2012,6500000,government,accidentally published,Government & Public Services,Accidentally published
Ohio State University,2010,760000,academic,hacked,Educational & Academic Services,Hacked
Orbitz,2018,880000,web,hacked,Technology & IT Services,Hacked
Oregon Department of Transportation,2011,43797808,government,poor security,Government & Public Services,Poor security/Misconfiguration
OVH,2013,43797808,web,hacked,Technology & IT Services,Hacked
Patreon,2015,2300000,web,hacked,Technology & IT Services,Hacked
PayPay,2020,20076016,QR code payment,"improper setting, hacked",Technology & IT Services,Hacked
Popsugar,2018,123857,fashion,hacked,Retail & Consumer Services,Hacked
Premera,2015,11000000,healthcare,hacked,Healthcare & Health Services,Hacked
Puerto Rico Department of Health,2010,515000,healthcare,hacked,Healthcare & Health Services,Hacked
Quest Diagnostics,2019,11900000,Clinical Laboratory,poor security,Healthcare & Health Services,Poor security/Misconfiguration
Quora,2018,100000000,Question & Answer,hacked,Social & Networking Services,Hacked
Rakuten,2020,1381735,web,"improper setting, hacked",Technology & IT Services,Hacked
Rambler.ru,2012,98167935,web,hacked,Technology & IT Services,Hacked
RBS Worldpay,2008,1500000,financial,hacked,Financial Services,Hacked
Reddit,2018,43797808,web,hacked,Technology & IT Services,Hacked
Restaurant Depot,2011,200000,retail,hacked,Retail & Consumer Services,Hacked
RockYou!,2009,32000000,"web, gaming",hacked,Gaming & Entertainment,Hacked
Rosen Hotels,2016,43797808,hotel,hacked,Hospitality & Food Services,Hacked
"Sakai City, Japan",2015,680000,government,inside job,Government & Public Services,Inside job
San Francisco Public Utilities Commission,2011,180000,government,hacked,Government & Public Services,Hacked
Scottrade,2015,4600000,financial,hacked,Financial Services,Hacked
Scribd,2013,500000,web,hacked,Technology & IT Services,Hacked
"Seacoast Radiology, PA",2010,231400,healthcare,hacked,Healthcare & Health Services,Hacked
Sega,2011,1290755,gaming,hacked,Gaming & Entertainment,Hacked
Service Personnel and Veterans Agency (UK),2008,50500,government,lost / stolen media,Government & Public Services,Other
ShopBack,2020,43797808,tech,hacked,Technology & IT Services,Hacked
SingHealth,2018,1500000,"government, database",hacked,Government & Public Services,Hacked
Slack,2015,500000,tech,poor security,Technology & IT Services,Poor security/Misconfiguration
SlickWraps,2020,377428,phone accessories,poor security,Technology & IT Services,Poor security/Misconfiguration
SnapChat,2013,4700000,"web, tech",hacked,Technology & IT Services,Hacked
SolarWinds,2020,43797808,Network Monitoring,hacked,Technology & IT Services,Hacked
Sony Online Entertainment,2011,24600000,gaming,hacked,Gaming & Entertainment,Hacked
Sony Pictures,2011,1000000,web,hacked,Technology & IT Services,Hacked
Sony Pictures,2014,43797808,media,hacked,Media & Advertising,Hacked
Sony PlayStation Network,2011,77000000,gaming,hacked,Gaming & Entertainment,Hacked
South Africa police,2013,16000,government,hacked,Government & Public Services,Hacked
South Carolina Government,2012,6400000,healthcare,inside job,Healthcare & Health Services,Inside job
"South Shore Hospital, Massachusetts",2010,800000,healthcare,lost / stolen media,Healthcare & Health Services,Other
Southern California Medical-Legal Consultants,2011,300000,healthcare,hacked,Healthcare & Health Services,Hacked
Spartanburg Regional Healthcare System,2011,400000,healthcare,lost / stolen computer,Healthcare & Health Services,Other
Stanford University,2008,72000,academic,lost / stolen computer,Educational & Academic Services,Other
Starbucks,2008,97000,retail,lost / stolen computer,Retail & Consumer Services,Other
Starwoodincluding Westin Hotels & Resorts and Sheraton Hotels and Resorts,2015,43797808,hotel,hacked,Hospitality & Food Services,Hacked
State of Texas,2011,3500000,government,accidentally published,Government & Public Services,Accidentally published
Steam,2011,35000000,web,hacked,Technology & IT Services,Hacked
StockX,2019,6800000,retail,hacked,Retail & Consumer Services,Hacked
Stratfor,2011,935000,military,accidentally published,Miscellaneous & Other,Accidentally published
Supervalu,2014,43797808,retail,hacked,Retail & Consumer Services,Hacked
Sutter Medical Center,2011,4243434,healthcare,lost / stolen computer,Healthcare & Health Services,Other
Syrian government (Syria Files),2012,2434899,government,hacked,Government & Public Services,Hacked
Taobao,2016,20000000,retail,hacked,Retail & Consumer Services,Hacked
Taringa!,2017,28722877,web,hacked,Technology & IT Services,Hacked
Target Corporation,2013,110000000,retail,hacked,Retail & Consumer Services,Hacked
TaxSlayer.com,2016,8800,web,hacked,Technology & IT Services,Hacked
TD Ameritrade,2007,6300000,financial,hacked,Financial Services,Hacked
TD Bank,2012,260000,financial,hacked,Financial Services,Hacked
TerraCom & YourTel,2013,170000,telecoms,accidentally published,Telecommunications,Accidentally published
Tetrad,2020,120000000,market analysis,poor security,Financial Services,Poor security/Misconfiguration
Texas Lottery,2007,89000,government,inside job,Government & Public Services,Inside job
Ticketfly (subsidiary of Eventbrite),2018,26151608,ticket distribution,hacked,Miscellaneous & Other,Hacked
Tianya Club,2011,28000000,web,hacked,Technology & IT Services,Hacked
TikTok,2020,42000000,social media,poor security,Social & Networking Services,Poor security/Misconfiguration
TK / TJ Maxx,2007,94000000,retail,hacked,Retail & Consumer Services,Hacked
"T-Mobile, Deutsche Telekom",2006,17000000,telecoms,lost / stolen media,Telecommunications,Other
T-Mobile,2021,45000000,telecom,hacked,Telecommunications,Hacked
Tricare,2011,4901432,"military, healthcare",lost / stolen computer,Healthcare & Health Services,Other
"Triple-S Salud, Inc.",2010,398000,healthcare,lost / stolen media,Healthcare & Health Services,Other
Truecaller,2019,299055000,Telephone directory,unknown,Telecommunications,Unknown
Trump Hotels,2014,43797808,hotel,hacked,Hospitality & Food Services,Hacked
Tumblr,2013,65469298,web,hacked,Technology & IT Services,Hacked
Twitch,2015,43797808,tech,hacked,Technology & IT Services,Hacked
Twitch,2021,43797808,tech,hacked/misconfiguration,Technology & IT Services,Hacked
Twitter,2013,250000,web,hacked,Technology & IT Services,Hacked
Typeform,2018,43797808,tech,poor security,Technology & IT Services,Poor security/Misconfiguration
Uber,2014,50000,tech,poor security,Technology & IT Services,Poor security/Misconfiguration
Uber,2017,57000000,transport,hacked,Transport & Logistics,Hacked
Ubisoft,2013,43797808,gaming,hacked,Gaming & Entertainment,Hacked
Ubuntu,2013,2000000,tech,hacked,Technology & IT Services,Hacked
"UCLA Medical Center, Santa Monica",2015,4500000,healthcare,hacked,Healthcare & Health Services,Hacked
UK Home Office,2008,84000,government,lost / stolen media,Government & Public Services,Other
UK Ministry of Defence,2008,1700000,government,lost / stolen media,Government & Public Services,Other
UK Revenue & Customs,2007,25000000,government,lost / stolen media,Government & Public Services,Other
Universiti Teknologi MARA,2019,1164540,academic,hacked,Educational & Academic Services,Hacked
Under Armour,2018,150000000,Consumer Goods,hacked,Retail & Consumer Services,Hacked
"University of California, Berkeley",2009,160000,academic,hacked,Educational & Academic Services,Hacked
"University of California, Berkeley",2016,80000,academic,hacked,Educational & Academic Services,Hacked
"University of Maryland, College Park",2014,300000,academic,hacked,Educational & Academic Services,Hacked
University of Central Florida,2016,63000,academic,hacked,Educational & Academic Services,Hacked
University of Miami,2008,2100000,academic,lost / stolen computer,Educational & Academic Services,Other
University of Utah Hospital & Clinics,2008,2200000,academic,lost / stolen media,Educational & Academic Services,Other
University of Wisconsin–Milwaukee,2011,73000,academic,hacked,Educational & Academic Services,Hacked
United States Postal Service,2018,60000000,government,poor security,Government & Public Services,Poor security/Misconfiguration
UPS,2014,43797808,retail,hacked,Retail & Consumer Services,Hacked
U.S. Army,2011,50000,military,accidentally published,Miscellaneous & Other,Accidentally published
U.S. Army(classified Iraq War documents),2010,392000,government,inside job,Government & Public Services,Inside job
U.S. Department of Defense,2009,72000,military,lost / stolen media,Miscellaneous & Other,Other
U.S. Department of Veteran Affairs,2006,26500000,"government, military",lost / stolen computer,Government & Public Services,Other
U.S. federal government (2020 United States federal government data breach),2020,43797808,"government, military",hacked,Government & Public Services,Hacked
U.S. law enforcement (70 different agencies),2011,123461,government,accidentally published,Government & Public Services,Accidentally published
National Archives and Records Administration (U.S. military veterans records),2009,76000000,military,lost / stolen media,Miscellaneous & Other,Other
U.S. government (United States diplomatic cables leak),2010,260000,military,inside job,Miscellaneous & Other,Inside job
National Guard of the United States,2009,131000,military,lost / stolen computer,Miscellaneous & Other,Other
Vastaamo,2020,130000,healthcare,hacked,Healthcare & Health Services,Hacked
Verizon Communications,2016,1500000,telecoms,hacked,Telecommunications,Hacked
View Media,2020,38000000,online marketing,publicly accessible Amazon Web Services (AWS) server,Technology & IT Services,Other
Virgin Media,2020,900000,mobile carrier,accidentally exposed,Telecommunications,Accidentally published
Virginia Department of Health,2009,8257378,"government, healthcare",hacked,Government & Public Services,Hacked
Virginia Prescription Monitoring Program,2009,531400,healthcare,hacked,Healthcare & Health Services,Hacked
Vodafone,2013,2000000,telecoms,inside job,Telecommunications,Inside job
VTech,2015,5000000,retail,hacked,Retail & Consumer Services,Hacked
Walmart,2015,1300000,retail,hacked,Retail & Consumer Services,Hacked
Washington Post,2011,1270000,media,hacked,Media & Advertising,Hacked
Washington State court system,2013,160000,government,hacked,Government & Public Services,Hacked
Wattpad,2020,270000000,web,hacked,Technology & IT Services,Hacked
Wawa (company),2020,30000000,retail,hacked,Retail & Consumer Services,Hacked
Weebly,2016,43430316,web,hacked,Technology & IT Services,Hacked
Wendy's,2015,43797808,restaurant,hacked,Hospitality & Food Services,Hacked
Westpac,2019,98000,financial,hacked,Financial Services,Hacked
Woodruff Arts Center,2019,43797808,arts group,poor security,Media & Advertising,Poor security/Misconfiguration
WordPress,2018,43797808,web service,hacked,Technology & IT Services,Hacked
Writerspace.com,2011,62000,web,hacked,Technology & IT Services,Hacked
Xat.com,2015,6054459,web,social engineering,Technology & IT Services,Other
Yahoo,2013,29174275,web,hacked,Technology & IT Services,Hacked
Yahoo,2014,500000000,web,hacked,Technology & IT Services,Hacked
Yahoo Japan,2013,22000000,"tech, web",hacked,Technology & IT Services,Hacked
Yahoo! Voices,2012,450000,web,hacked,Technology & IT Services,Hacked
Yale University,2010,43000,academic,accidentally published,Educational & Academic Services,Accidentally published
YouTube,2020,4000000,social media,poor security,Social & Networking Services,Poor security/Misconfiguration
Zappos,2012,24000000,web,hacked,Technology & IT Services,Hacked
Zynga,2019,173000000,social network,hacked,Social & Networking Services,Hacked
Unknown agency(believed to be tied to United States Census Bureau),2020,200000000,financial,accidentally published,Financial Services,Accidentally published
National Health Information Center (NCZI) of Slovakia,2020,391250,healthcare,poor security,Healthcare & Health Services,Poor security/Misconfiguration
